architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
rnn,BPI%20Challenge%202017.xes.gz,base,,0.0691,0.7416,100.9505,223449
rnn,BPI%20Challenge%202017.xes.gz,RTFMP,"['0', '1', '2', '3']",0.0372,5.1177,696.6516,227572
rnn,BPIC15_1.xes,base,,0.0264,2.6185,2549.0971,9359
rnn,BPIC15_1.xes,helpdesk,"['0', '1', '2', '3']",0.0226,2.4174,2353.3574,9307
rnn,BPIC15_1.xes,helpdesk,"['0', '1', '2']",0.0323,1.8449,1795.9604,9226
rnn,BPIC15_1.xes,helpdesk,"['1', '2', '3']",0.0235,1.3222,1287.1114,9155
rnn,BPIC15_1.xes,helpdesk,"['0', '2', '3']",0.0261,2.3609,2298.3564,9124
rnn,BPIC15_1.xes,helpdesk,"['0', '1', '3']",0.0225,2.2110,2152.4007,9330
rnn,BPIC15_1.xes,helpdesk,"['0', '1']",0.0238,1.1892,1157.6901,9277
rnn,BPIC15_1.xes,helpdesk,['0'],0.0244,0.8626,839.7209,9164
rnn,BPIC15_1.xes,RTFMP,"['0', '1', '2', '3']",0.0305,4.7238,4598.5454,9309
rnn,BPIC15_1.xes,RTFMP,"['0', '1', '2']",0.0262,0.9414,916.4555,9320
rnn,BPIC15_1.xes,RTFMP,"['1', '2', '3']",0.0264,1.0785,1049.8700,9295
rnn,BPIC15_1.xes,RTFMP,"['0', '2', '3']",0.0295,1.8587,1809.4069,8892
rnn,BPIC15_1.xes,RTFMP,"['0', '1', '3']",0.0901,0.0616,60.0098,0
rnn,BPIC15_1.xes,RTFMP,"['0', '1']",0.0272,1.9953,1942.3896,9192
rnn,BPIC15_1.xes,RTFMP,['0'],0.0272,2.2864,2225.7599,9313
rnn,BPIC15_1.xes,RTFMP_filtered,"['0', '1', '2']",0.0316,1.7116,1666.2221,9810
rnn,BPIC15_1.xes,RTFMP_filtered,['0'],0.0459,2.5342,2467.0440,8254
rnn,BPI_Challenge_2012.xes.gz,base,,0.1032,0.3490,35.8917,46044
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '1', '2', '3']",0.1082,2.8834,296.5555,34540
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '1', '2']",0.0696,3.9636,407.6543,46754
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['1', '2', '3']",0.0682,0.7953,81.8017,47065
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '2', '3']",0.0688,4.5420,467.1459,47116
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '1', '3']",0.0705,1.9249,197.9737,47072
rnn,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '1']",0.1321,1.5325,157.6222,11201
rnn,BPI_Challenge_2012.xes.gz,helpdesk,['0'],0.0769,2.9089,299.1822,46298
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '1', '2', '3']",0.0954,4.5249,465.3916,45878
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '1', '2']",0.0635,6.4456,662.9268,46143
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['1', '2', '3']",0.0831,0.4762,48.9789,46760
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '2', '3']",0.0675,0.1524,15.6713,47085
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '1', '3']",0.1759,0.1095,11.2646,0
rnn,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '1']",0.0770,3.2352,332.7393,45126
rnn,BPI_Challenge_2012.xes.gz,RTFMP,['0'],0.0568,0.3840,39.4959,47103
rnn,BPI_Challenge_2013_closed_problems.xes.gz,BPIC15,"['0', '1', '2']",0.5062,0.3299,743.9251,414
rnn,BPI_Challenge_2013_closed_problems.xes.gz,BPIC15,['0'],0.7123,0.0450,101.5087,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,base,,0.5517,0.1137,256.2956,354
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '2', '3']",0.3434,0.5997,1352.2404,724
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '2']",0.4370,0.0666,150.1526,545
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['1', '2', '3']",0.6891,0.0603,135.9543,1
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '2', '3']",0.4658,0.0679,153.1793,474
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '3']",0.6810,0.0416,93.7055,1
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1']",0.4056,0.5053,1139.3475,586
rnn,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,['0'],0.4054,0.1442,325.0621,603
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '2', '3']",0.5398,0.0602,135.8353,402
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '2']",0.4938,0.5564,1254.5578,469
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['1', '2', '3']",0.6951,0.0401,90.3158,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '2', '3']",0.5270,0.2354,530.6773,412
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '3']",0.7027,0.0441,99.4977,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1']",0.5132,0.6817,1537.0153,440
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,['0'],0.5709,0.0442,99.6822,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.7015,0.0521,117.5060,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,['0'],0.7131,0.0618,139.2390,0
rnn,BPI_Challenge_2013_incidents.xes.gz,BPIC15,"['0', '1', '2']",0.2604,2.4387,1761.3357,8772
rnn,BPI_Challenge_2013_incidents.xes.gz,BPIC15,['0'],0.2610,1.6363,1181.8078,8750
rnn,BPI_Challenge_2013_incidents.xes.gz,base,,0.2600,0.3158,228.1152,8496
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2', '3']",0.2603,0.1100,79.4819,8480
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2']",0.2608,1.2027,868.6197,8456
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['1', '2', '3']",0.4880,0.0246,17.7613,0
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '2', '3']",0.2608,2.1768,1572.2026,8455
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '3']",0.2605,0.5832,421.2483,8471
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1']",0.2609,1.5923,1150.0322,8448
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,['0'],0.2610,1.3417,969.0523,8461
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2', '3']",0.3086,0.4124,297.8369,6975
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2']",0.2619,4.0357,2914.8295,8411
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['1', '2', '3']",0.2601,0.5710,412.4298,8489
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '2', '3']",0.2601,1.8756,1354.6349,8495
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '3']",0.2610,1.1265,813.5936,8457
